date,bases,open_access_bases,bytes,open_access_bytes
05/28/2009,4.90608E+12,4.90608E+12,2.88562E+13,2.88562E+13
05/29/2009,4.9222E+12,4.9222E+12,2.88745E+13,2.88745E+13
06/01/2009,5.02374E+12,5.02374E+12,2.90143E+13,2.90143E+13
06/02/2009,5.06649E+12,5.06649E+12,2.91064E+13,2.91064E+13
06/03/2009,5.06677E+12,5.06677E+12,2.9107E+13,2.9107E+13
06/04/2009,5.0672E+12,5.0672E+12,2.91079E+13,2.91079E+13
06/05/2009,5.06841E+12,5.06841E+12,2.91109E+13,2.91109E+13
06/09/2009,5.16721E+12,5.16721E+12,2.93356E+13,2.93356E+13
06/10/2009,5.40431E+12,5.40431E+12,2.97411E+13,2.97411E+13
06/11/2009,5.50442E+12,5.50442E+12,2.99341E+13,2.99341E+13
06/12/2009,5.51311E+12,5.51311E+12,2.99507E+13,2.99507E+13
06/13/2009,5.54624E+12,5.54624E+12,3.00039E+13,3.00039E+13
06/14/2009,5.55094E+12,5.55094E+12,3.00181E+13,3.00181E+13
06/15/2009,5.56295E+12,5.56295E+12,3.00493E+13,3.00493E+13
06/16/2009,5.71224E+12,5.71224E+12,3.04934E+13,3.04934E+13
06/17/2009,5.72275E+12,5.72275E+12,3.05072E+13,3.05072E+13
06/18/2009,5.82474E+12,5.82474E+12,3.06501E+13,3.06501E+13
06/19/2009,5.88001E+12,5.88001E+12,3.07878E+13,3.07878E+13
06/20/2009,5.90812E+12,5.90812E+12,3.08562E+13,3.08562E+13
06/21/2009,5.94133E+12,5.94133E+12,3.08903E+13,3.08903E+13
06/22/2009,5.98024E+12,5.98024E+12,3.11589E+13,3.11589E+13
06/23/2009,5.99229E+12,5.99229E+12,3.11762E+13,3.11762E+13
06/24/2009,6.02224E+12,6.02224E+12,3.12451E+13,3.12451E+13
06/25/2009,6.05874E+12,6.05874E+12,3.13129E+13,3.13129E+13
06/26/2009,6.08233E+12,6.08233E+12,3.13786E+13,3.13786E+13
06/29/2009,6.08352E+12,6.08352E+12,3.13828E+13,3.13828E+13
06/30/2009,6.13177E+12,6.13177E+12,3.14524E+13,3.14524E+13
07/01/2009,6.14741E+12,6.14741E+12,3.14749E+13,3.14749E+13
07/06/2009,6.1692E+12,6.1692E+12,3.15098E+13,3.15098E+13
07/07/2009,6.17277E+12,6.17277E+12,3.15198E+13,3.15198E+13
07/08/2009,6.1773E+12,6.1773E+12,3.15255E+13,3.15255E+13
07/09/2009,6.201E+12,6.201E+12,3.15594E+13,3.15594E+13
07/10/2009,6.25424E+12,6.25424E+12,3.16267E+13,3.16267E+13
07/11/2009,6.27963E+12,6.27963E+12,3.16714E+13,3.16714E+13
07/13/2009,6.33629E+12,6.33629E+12,3.17305E+13,3.17305E+13
07/15/2009,6.37091E+12,6.37091E+12,3.18064E+13,3.18064E+13
07/16/2009,6.3798E+12,6.3798E+12,3.18268E+13,3.18268E+13
07/17/2009,6.40233E+12,6.40233E+12,3.18535E+13,3.18535E+13
07/18/2009,6.40245E+12,6.40245E+12,3.18538E+13,3.18538E+13
07/20/2009,6.40364E+12,6.40364E+12,3.18563E+13,3.18563E+13
07/21/2009,6.423E+12,6.423E+12,3.18818E+13,3.18818E+13
07/22/2009,6.42974E+12,6.42974E+12,3.18929E+13,3.18929E+13
07/23/2009,6.43046E+12,6.43046E+12,3.18949E+13,3.18949E+13
07/24/2009,6.44677E+12,6.44677E+12,3.19149E+13,3.19149E+13
07/25/2009,6.47936E+12,6.47936E+12,3.19494E+13,3.19494E+13
07/26/2009,6.48622E+12,6.48622E+12,3.19705E+13,3.19705E+13
07/27/2009,6.49174E+12,6.49174E+12,3.19812E+13,3.19812E+13
07/28/2009,6.49242E+12,6.49242E+12,3.19824E+13,3.19824E+13
07/29/2009,6.49243E+12,6.49243E+12,3.19824E+13,3.19824E+13
07/30/2009,6.49272E+12,6.49272E+12,3.19831E+13,3.19831E+13
08/01/2009,6.49348E+12,6.49348E+12,3.19842E+13,3.19842E+13
08/04/2009,6.51252E+12,6.51252E+12,3.20392E+13,3.20392E+13
08/05/2009,6.51456E+12,6.51456E+12,3.20418E+13,3.20418E+13
